probabilities,true_labels
0.81091124,0
0.85755163,0
0.7530807,0
0.010252226,0
0.5615579,0
0.09434346,0
0.8256368,0
0.31646252,1
0.28505704,0
0.6610478,0
0.0486986,0
0.042611722,0
0.17582458,0
0.2993091,0
0.8625521,1
0.11400437,0
0.7222916,1
0.61620873,0
0.4897022,1
0.7694988,1
0.036731172,0
0.8724154,1
0.43975368,0
0.8177372,1
0.016210627,0
0.8181055,0
0.06572706,0
0.22640476,0
0.06289893,0
0.24337137,0
0.66046953,1
0.76382273,1
0.22601601,0
0.09667886,0
0.38553572,1
0.19376566,0
0.53738844,0
0.87776613,1
0.77755284,1
0.10153127,0
0.21184924,0
0.026968127,0
0.3131026,1
0.034608673,0
0.007944997,0
0.5214964,1
0.14970887,0
0.89892906,0
0.7920737,1
0.7488786,1
0.61265445,0
0.061526712,0
0.20460904,0
0.13812307,0
0.7538101,1
0.290798,0
0.556383,0
0.7931031,1
0.16144526,0
0.61469644,0
0.8358997,1
0.727224,1
0.55682003,1
0.5171734,0
0.7767755,1
0.49873832,1
0.42018753,0
0.12377926,0
0.758384,1
0.661489,1
0.27634162,0
0.3399857,1
0.2033189,0
0.7063377,1
0.11996108,0
0.3388911,0
0.43611208,1
0.3794821,0
0.6640682,1
0.60728097,1
0.7869507,1
0.5913271,0
0.59120286,1
0.49154678,0
0.15707943,0
0.5095205,0
0.29135367,0
0.688517,1
0.4141692,0
0.77000153,0
0.39444304,1
0.03943163,0
0.35307306,1
0.59623027,1
0.040944826,0
0.17161365,0
0.27051255,0
0.053856608,0
0.03458011,0
0.15649484,0
0.57493335,0
0.2582729,0
0.197668,0
0.38728637,1
0.12894125,0
0.32377493,1
0.122318484,0
0.10378481,0
0.18446577,0
0.2466325,0
0.7354766,1
0.59190106,1
0.37488303,0
0.8029975,1
0.646181,1
0.4508396,0
0.19255774,0
0.26926768,0
0.26045987,0
0.3314643,0
0.36494216,1
0.8102339,1
0.2539762,0
0.15842788,0
0.73069656,0
0.49802256,0
0.40652382,0
0.1218263,0
0.6633334,0
0.8385372,0
0.8701004,1
0.6546218,0
0.71287334,0
0.051232416,0
0.028737927,0
0.17750137,1
0.83156264,1
0.7651092,1
0.09715641,0
0.59397185,0
0.15430088,1
0.8580583,0
0.7784741,1
0.05497917,0
0.56474817,0
0.0876612,0
0.22534643,0
0.23153237,0
0.49656048,0
0.2821423,0
0.021754663,0
0.4949044,0
0.054966435,0
0.18559778,0
0.24965918,0
0.260199,0
0.63829386,1
0.55415857,0
0.7279154,0
0.18682009,1
0.17954364,0
0.45834064,0
0.10512438,0
0.17468315,0
0.7344115,0
0.45339072,0
0.2248204,1
0.27921584,0
0.3588642,1
0.57269,0
0.0898382,0
0.11882565,0
0.30134702,1
0.72557,0
0.499244,1
0.75854003,1
0.0055678575,0
0.763064,1
0.21617818,0
0.79150045,1
0.15948425,0
0.8485788,1
0.87397575,1
0.89194787,1
0.73092645,1
0.5521754,0
0.33385444,0
0.82537895,1
0.08787321,0
0.5774382,1
0.7155988,0
0.010208756,0
0.24700588,1
0.31560987,0
0.70760083,1
0.17151222,0
0.7836278,1
0.7340929,0
0.8012242,0
0.35864758,0
0.650144,1
0.1869581,0
0.8205695,1
0.2437391,0
0.7945967,1
0.5418146,0
0.8003544,1
0.18156993,0
0.21502288,0
0.7641349,1
0.414736,0
0.86627334,1
0.8467002,1
0.8847738,1
0.13000943,0
0.87333095,0
0.26561624,0
0.880828,1
0.18677366,0
0.29813007,0
0.097159535,0
0.20223485,0
0.50546247,0
0.19423926,0
0.7805539,1
0.62681586,0
0.074825734,0
0.14617163,0
0.52450335,0
0.14469604,0
0.85015196,1
0.29458517,0
0.028506692,0
0.045463193,0
0.8793354,1
0.009587295,0
0.85928595,1
0.7738077,0
0.0051394044,0
0.4997497,0
0.8311695,1
0.8587409,0
0.84309626,0
0.6609792,1
0.39160225,1
0.7166278,1
0.58648837,0
0.8137392,1
0.7409123,0
0.3474735,0
0.5878067,0
0.8229588,0
0.33554325,0
0.44698644,0
0.51222575,0
0.040052086,0
0.61843073,1
0.8399196,1
0.036344983,0
0.13056459,0
0.22820754,1
0.18155296,0
0.14058924,0
0.5725565,0
0.25026605,0
0.6502356,1
0.742761,1
0.72770625,0
0.50466955,1
0.3150436,0
0.91307914,1
0.4610096,1
0.929671,1
0.40854174,1
0.5554968,1
0.65140593,1
0.12071495,0
0.09304361,0
0.34949324,0
0.033810936,0
0.68229884,0
0.7887436,1
0.7252128,1
0.8396226,0
0.1587983,0
0.7804241,0
0.6042427,1
0.29608807,0
0.704339,0
0.19790833,0
0.6293807,0
0.17008817,0
0.6154598,1
0.23901343,1
0.20542961,0
0.025210284,0
0.8600271,1
0.58994645,0
0.38195032,0
0.63353276,0
0.84965354,1
0.2661131,1
0.5773309,0
0.0031516517,0
0.7756531,0
0.10505388,0
0.87042797,1
0.016132146,0
0.2558499,0
0.6665282,0
0.22903533,0
0.5821818,1
0.18180369,0
0.31800953,0
0.45880607,0
0.1446505,0
0.014352099,0
0.79379886,0
0.08750822,0
0.8524559,1
0.09928536,0
0.12023589,0
0.18235731,0
0.76383436,1
0.0056769215,0
0.04523222,0
0.16172577,0
0.69289994,0
0.80937994,0
0.20791048,0
0.8039936,0
0.76488715,1
0.7942641,0
0.21037723,1
0.5496949,0
0.30190417,0
0.89445716,1
0.22702159,0
0.16293718,0
0.61102283,1
0.36496696,0
0.8027282,1
0.8077532,1
0.36237085,0
0.09421128,0
0.79628867,1
0.76632327,1
0.37422335,0
